,Submission,Title,Cited
163,164,BEVDepth: Acquisition of Reliable Depth for Multi-View 3D Object Detection,133
1247,1248,Are Transformers Effective for Time Series Forecasting?,113
239,240,Mean-Shifted Contrastive Loss for Anomaly Detection,52
841,842,FairFed: Enabling Group Fairness in Federated Learning,49
770,771,Toward a Perspectivist Turn in Ground Truthing for Predictive Computing,38
926,927,FLAME: Free-Form Language-Based Motion Synthesis & Editing,36
63,64,Frido: Feature Pyramid Diffusion for Complex Scene Image Synthesis,31
1107,1108,Securing Secure Aggregation: Mitigating Multi-Round Privacy Leakage in Federated Learning,30
1682,1683,A Holistic Approach to Undesired Content Detection in the Real World,26
572,573,Repair Is Nearly Generation: Multilingual Program Repair with LLMs,23
528,529,ConTextual Masked Auto-Encoder for Dense Passage Retrieval,21
283,284,Exploring CLIP for Assessing the Look and Feel of Images,20
1001,1002,Hard Sample Aware Network for Contrastive Deep Graph Clustering,17
1392,1393,From Understanding the Population Dynamics of the NSGA-II to the First Proven Lower Bounds,15
1117,1118,Federated Learning on Non-IID Graphs via Structural Knowledge Sharing,14
852,853,Decorate the Newcomers: Visual Domain Prompt for Continual Test Time Adaptation,14
316,317,Revisiting Classifier: Transferring Vision-Language Models for Video Recognition,13
1612,1613,Bugs in the Data: How ImageNet Misrepresents Biodiversity,13
1266,1267,Spectral Feature Augmentation for Graph Contrastive Learning and Beyond,13
503,504,Beyond Smoothing: Unsupervised Graph Representation Learning with Edge Heterophily Discriminating,13
569,570,MDM: Molecular Diffusion Model for 3D Molecule Generation,13
512,513,Scaling Law for Recommendation Models: Towards General-Purpose User Representations,12
168,169,READ: Large-Scale Neural Scene Rendering for Autonomous Driving,12
97,98,High-Resolution Iterative Feedback Network for Camouflaged Object Detection,12
129,130,Simple and Effective Synthesis of Indoor 3D Scenes,12
1122,1123,Heterogeneous Graph Masked Autoencoders,12
586,587,Defending against Backdoor Attacks in Natural Language Generation,12
1022,1023,Boundary Graph Neural Networks for 3D Simulations,11
166,167,Curriculum Temperature for Knowledge Distillation,11
880,881,Safeguarded Learned Convex Optimization,11
1014,1015,OMPQ: Orthogonal Mixed Precision Quantization,11
265,266,Superpoint Transformer for 3D Scene Instance Segmentation,11
1526,1527,Contrastive Learning Reduces Hallucination in Conversations,11
810,811,Scalable Spatiotemporal Graph Neural Networks,11
809,810,Can Bad Teaching Induce Forgetting? Unlearning in Deep Networks Using an Incompetent Teacher,11
243,244,MIDMs: Matching Interleaved Diffusion Models for Exemplar-Based Image Translation,10
1081,1082,Overcoming Concept Shift in Domain-Aware Settings through Consolidated Internal Distributions,10
1826,1827,Solving Math Word Problems concerning Systems of Equations with GPT-3,10
592,593,Molformer: Motif-Based Transformer on 3D Heterogeneous Molecular Graphs,10
360,361,DPText-DETR: Towards Better Scene Text Detection with Dynamic Points in Transformer,9
