Submission,Title,Cited
700,High-Resolution Image Synthesis With Latent Diffusion Models,2471
1070,Masked Autoencoders Are Scalable Vision Learners,2389
1116,A ConvNet for the 2020s,1452
1412,Video Swin Transformer,596
1384,Masked-Attention Mask Transformer for Universal Image Segmentation,515
2009,Scaling Vision Transformers,511
118,Swin Transformer V2: Scaling Up Capacity and Resolution,504
690,SimMIM: A Simple Framework for Masked Image Modeling,490
1499,Plenoxels: Radiance Fields Without Neural Networks,472
1074,Restormer: Efficient Transformer for High-Resolution Image Restoration,470
234,Efficient Geometry-Aware 3D Generative Adversarial Networks,396
914,CSWin Transformer: A General Vision Transformer Backbone With Cross-Shaped Windows,392
1327,RePaint: Inpainting Using Denoising Diffusion Probabilistic Models,335
973,Masked Feature Prediction for Self-Supervised Visual Pre-Training,310
879,Direct Voxel Grid Optimization: Super-Fast Convergence for Radiance Fields Reconstruction,304
1041,Conditional Prompt Learning for Vision-Language Models,303
706,Mip-NeRF 360: Unbounded Anti-Aliased Neural Radiance Fields,300
1636,"Ego4D: Around the World in 3,000 Hours of Egocentric Video",294
644,MetaFormer Is Actually What You Need for Vision,264
1132,MViTv2: Improved Multiscale Vision Transformers for Classification and Detection,246
675,FLAVA: A Foundational Language and Vision Alignment Model,243
1808,Vector Quantized Diffusion Model for Text-to-Image Synthesis,243
749,Block-NeRF: Scalable Large Scene Neural View Synthesis,235
1809,CMT: Convolutional Neural Networks Meet Vision Transformers,230
1089,Towards Total Recall in Industrial Anomaly Detection,194
1071,Point-BERT: Pre-Training 3D Point Cloud Transformers With Masked Point Modeling,180
1283,DiffusionCLIP: Text-Guided Diffusion Models for Robust Image Manipulation,178
333,Mobile-Former: Bridging MobileNet and Transformer,174
1797,RegNeRF: Regularizing Neural Radiance Fields for View Synthesis From Sparse Inputs,159
1922,TransFusion: Robust LiDAR-Camera Fusion for 3D Object Detection With Transformers,157
1570,MaskGIT: Masked Generative Image Transformer,157
128,DN-DETR: Accelerate DETR Training by Introducing Query DeNoising,156
35,NICE-SLAM: Neural Implicit Scalable Encoding for SLAM,155
274,Learning To Prompt for Continual Learning,154
1155,Revisiting Skeleton-Based Action Recognition,150
1280,GroupViT: Semantic Segmentation Emerges From Text Supervision,146
1638,Self-Supervised Pre-Training of Swin Transformers for 3D Medical Image Analysis,140
331,HyperStyle: StyleGAN Inversion With HyperNetworks for Real Image Editing,137
1880,DAFormer: Improving Network Architectures and Training Strategies for Domain-Adaptive Semantic Segmentation,137
766,HumanNeRF: Free-Viewpoint Rendering of Moving People From Monocular Video,134
2059,NeRF in the Dark: High Dynamic Range View Synthesis From Noisy Raw Images,132
1294,MAXIM: Multi-Axis MLP for Image Processing,131
1564,High-Fidelity GAN Inversion for Image Attribute Editing,130
489,Text2Mesh: Text-Driven Neural Stylization for Meshes,129
1711,Decoupled Knowledge Distillation,129
1175,Diffusion Autoencoders: Toward a Meaningful and Decodable Representation,123
1519,GRAM: Generative Radiance Manifolds for 3D-Aware Image Generation,121
1441,Knowledge Distillation: A Good Teacher Is Patient and Consistent,119
1198,Dense Depth Priors for Neural Radiance Fields From Sparse Input Views,115
1715,PointCLIP: Point Cloud Understanding by CLIP,115
61,Vision Transformer With Deformable Attention,113
1356,"Extracting Triangular 3D Models, Materials, and Lighting From Images",109
136,On Aliased Resizing and Surprising Subtleties in GAN Evaluation,107
1789,CLIPstyler: Image Style Transfer With a Single Text Condition,106
1231,Multiview Transformers for Video Recognition,105
868,Simple but Effective: CLIP Embeddings for Embodied AI,104
880,Continual Test-Time Domain Adaptation,103
47,CRIS: CLIP-Driven Referring Image Segmentation,101
633,Scaling Vision Transformers to Gigapixel Images via Hierarchical Self-Supervised Learning,101
80,"Toward Fast, Flexible, and Robust Low-Light Image Enhancement",100
1225,Come-Closer-Diffuse-Faster: Accelerating Conditional Diffusion Models for Inverse Problems Through Stochastic Contraction,100
1671,A-ViT: Adaptive Tokens for Efficient Vision Transformer,98
1215,Unified Contrastive Learning in Image-Text-Label Space,98
2007,"StyleGAN-V: A Continuous Video Generator With the Price, Image Quality and Perks of StyleGAN2",95
2071,Semi-Supervised Semantic Segmentation Using Unreliable Pseudo-Labels,95
1757,Geometric Transformer for Fast and Robust Point Cloud Registration,95
1592,DyTox: Transformers for Continual Learning With DYnamic TOken eXpansion,94
564,Embracing Single Stride 3D Object Detector With Sparse Transformer,94
437,Dataset Distillation by Matching Training Trajectories,92
2058,Stratified Transformer for 3D Point Cloud Segmentation,92
1140,BEVT: BERT Pretraining of Video Transformers,89
349,Not All Points Are Equal: Learning Highly Efficient Point-Based Detectors for 3D LiDAR Point Clouds,89
1912,Kubric: A Scalable Dataset Generator,88
1524,Towards Robust Vision Transformer,88
