,Submission,Title,Cited
712,3111,YOLOv7: Trainable bag-of-freebies sets new state-of-the-art for real-time object detectors,1015
2146,578,DreamBooth: Fine Tuning Text-to-Image Diffusion Models for Subject-Driven Generation,476
573,1568,Imagic: Text-Based Real Image Editing with Diffusion Models,250
1755,9786,InstructPix2Pix: Learning to Follow Image Editing Instructions,201
28,658,Magic3D: High-Resolution Text-to-3D Content Creation,161
576,5647,NULL-text Inversion for Editing Real Images using Guided Diffusion Models,131
1846,1997,EVA: Exploring the Limits of Masked Visual Representation Learning at Scale,111
183,634,Multi-Concept Customization of Text-to-Image Diffusion,106
288,5306,Mask DINO: Towards A Unified Transformer-based Framework for Object Detection and Segmentation,103
925,5454,Observation-Centric SORT: Rethinking SORT for Robust Multi-Object Tracking,91
2133,103,Activating More Pixels in Image Super-Resolution Transformer,86
1365,10027,On Distillation of Guided Diffusion Models,79
2147,3041,GLIGEN: Open-Set Grounded Text-to-Image Generation,75
267,10190,Reproducible scaling laws for contrastive language-image learning,75
1209,5191,Latent-NeRF for Shape-Guided Generation of 3D Shapes and Textures,73
182,5949,Plug-and-Play Diffusion Features for Text-Driven Image-to-Image Translation,72
1205,3570,Score Jacobian Chaining: Lifting Pretrained 2D Diffusion Models for 3D Generation,70
577,11309,Diffusion Art or Digital Forgery? Investigating Data Replication in Diffusion Models,64
2231,1236,Scaling Language-Image Pre-training via Masking,60
1539,1773,ConvNeXt V2: Co-designing and Scaling ConvNets with Masked Autoencoders,59
2152,8978,Align your Latents: High-Resolution Video Synthesis with Latent Diffusion Models,57
1581,2157,MobileNeRF: Exploiting the Polygon Rasterization Pipeline for Efficient Neural Field Rendering on Mobile Architectures,57
590,627,Neighborhood Attention Transformer,56
967,3500,Scaling up GANs for Text-to-Image Synthesis,55
1254,3974,Objaverse: A Universe of Annotated 3D Objects,52
673,8751,Open-Vocabulary Semantic Segmentation with Mask-adapted CLIP,51
1823,7620,MaPLe: Multi-modal Prompt Learning,50
283,639,OneFormer: One Transformer to Rule Universal Image Segmentation,50
1878,6675,DETRs with Hybrid Matching,48
280,550,Open-Vocabulary Panoptic Segmentation with Text-to-Image Diffusion Models,47
1754,2978,Paint by Example: Exemplar-based Image Editing with Diffusion Models,44
1049,322,MaskCLIP: Masked Self-Distillation Advances Contrastive Language-Image Pretraining,42
203,3838,Siamese Image Modeling for Self-Supervised Vision Representation Learning,41
1380,10623,High-resolution image reconstruction with latent diffusion models from human brain activity,41
1442,870,"Generalized Decoding for Pixel, Image, and Language",39
994,940,OmniMAE: Single Model Masked Pretraining on Images and Videos,38
1753,4974,SpaText: Spatio-Textual Representation for Controllable Image Generation,38
1382,10676,Revealing the Dark Secrets of Masked Image Modeling,38
1994,2683,Dream3D: Zero-Shot Text-to-3D Synthesis Using 3D Shape Prior and Text-to-Image Diffusion Models,38
1427,2891,Visual Programming: Compositional visual reasoning without training,37
968,10837,ERNIE-ViLG 2.0: Improving Text-to-Image Diffusion Model with Knowledge-Enhanced Mixture-of-Denoising-Experts,36
434,2647,RODIN: A Generative Model for Sculpting 3D Digital Avatars Using Diffusion,35
76,3937,OpenScene: 3D Scene Understanding with Open Vocabularies,34
412,6868,DiffRF: Rendering-guided 3D Radiance Field Diffusion,33
1703,1655,Planning-oriented Autonomous Driving,33
1202,7031,SparseFusion: Distilling View-conditioned Diffusion for 3D Reconstruction,32
1192,10239,"K-Planes: Explicit Radiance Fields in Space, Time, and Appearance",31
1991,8247,3D Neural Field Generation using Triplane Diffusion,31
111,4814,"ULIP: Learning a Unified Representation of Language, Images, and Point Clouds for 3D Understanding",30
651,3562,Images Speak in Images: A Generalist Painter for In-Context Visual Learning,30
1701,6123,BEVFormer v2: Adapting Modern Image Backbones to Bird's-Eye-View Recognition via Perspective Supervision,30
424,367,"SDFusion: Multimodal 3D Shape Completion, Reconstruction, and Generation",30
2076,1201,Learning 3D Representations from 2D Pre-trained Models via Image-to-Point Masked Autoencoders,29
2327,10853,Deep Deterministic Uncertainty: A New Simple Baseline,29
575,3956,SINE: SINgle Image Editing with Text-to-Image Diffusion Models,28
1066,2321,ZegCLIP: Towards Adapting CLIP for Zero-shot Semantic Segmentation,27
881,4253,Tri-Perspective View for Vision-Based 3D Semantic Occupancy Prediction,27
2148,5845,Safe Latent Diffusion: Mitigating Inappropriate Degeneration in Diffusion Models,26
2205,2174,LAVENDER: Unifying Video-Language Understanding as Masked Language Modeling,26
556,7587,CR-FIQA: Face Image Quality Assessment by Learning Sample Relative Classifiability,25
2149,3458,EDICT: Exact Diffusion Inversion via Coupled Transformations,24
42,3426,EDGE: Editable Dance Generation From Music,24
975,2739,VideoFusion: Decomposed Diffusion Models for High-Quality Video Generation,24
1535,1159,DepGraph: Towards Any Structural Pruning,24
1451,1812,"Prompt, Generate, then Cache: Cascade of Foundation Models makes Strong Few-shot Learners",23
1752,12107,Imagen Editor and EditBench: Advancing and Evaluating Text-Guided Image Inpainting,23
1717,150,Executing your Commands via Motion Diffusion in Latent Space,23
1598,6305,"Diffusion-based Generation, Optimization, and Planning in 3D Scenes",23
868,8506,VoxFormer: Sparse Voxel Transformer for Camera-based 3D Semantic Scene Completion,23
1119,6542,MIC: Masked Image Consistency for Context-Enhanced Domain Adaptation,22
1968,6052,NeRDi: Single-View NeRF Synthesis with Language-Guided Diffusion as General Image Priors,22
12,1126,HexPlane: A Fast Representation for Dynamic Scenes,22
296,1167,Cut and Learn for Unsupervised Object Detection and Instance Segmentation,21
976,5394,MM-Diffusion: Learning Multi-Modal Diffusion Models for Joint Audio and Video Generation,20
1389,8992,VideoMAE V2: Scaling Video Masked Autoencoders with Dual Masking,20
