,Submission,Title,Cited
206,315,ByteTrack: Multi-Object Tracking by Associating Every Detection Box,341
910,4175,Visual Prompt Tuning,304
795,3555,TensoRF: Tensorial Radiance Fields,283
545,2151,Exploring Plain Vision Transformer Backbones for Object Detection,222
697,3043,Simple Baselines for Image Restoration,184
610,2557,Detecting Twenty-thousand Classes using Image-level Supervision,168
982,4420,PETR: Position Embedding Transformation for Multi-View 3D Object Detection,157
756,3370,MaxViT: Multi-Axis Vision Transformer,141
281,800,Masked Autoencoders for Point Cloud Self-supervised Learning,129
121,5422,NÜWA: Visual Synthesis Pre-training for Neural visUal World creAtion,128
950,4310,Prompting Visual-Language Models for Efficient Video Understanding,119
1565,7427,Masked Siamese Networks for Label-Efficient Learning,116
1483,6940,Compositional Visual Generation with Composable Diffusion Models,114
68,3228,Text2LIVE: Text-Driven Layered Image and Video Editing,107
823,3690,DeiT III: Revenge of the ViT,105
1577,7529,Simple Open-Vocabulary Object Detection with Vision Transformers,97
1544,7278,ActionFormer: Localizing Moments of Actions with Transformers,91
1209,5428,DualPrompt: Complementary Prompting for Rehearsal-free Continual Learning,83
31,1398,Expanding Language-Image Pretrained Models for General Video Recognition,72
879,4022,MotionCLIP: Exposing Human Motion Generation to CLIP Space,70
18,910,Extract Free Dense Labels from CLIP,69
97,4806,TEMOS: Generating diverse human motions from textual descriptions,67
213,349,FlowFormer: A Transformer Architecture for Optical Flow,67
1236,5549,Decoupled Contrastive Learning,66
284,812,DaViT: Dual Attention Vision Transformers,59
830,3737,NeuMan: Neural Human Radiance Field from a Single Video,56
862,3964,Joint Feature Learning and Relation Modeling for Tracking: A One-Stream Framework,54
793,3539,Multimodal Conditional Image Synthesis with Product-of-Experts GANs,53
1457,6715,Frozen CLIP Models are Efficient Video Learners,53
1,116,Towards Grand Unification of Object Tracking,51
838,3781,TAVA: Template-free Animatable Volumetric Actors,51
836,3769,EdgeViTs: Competing Light-weight CNNs on Mobile Devices with Vision Transformers,50
1634,8042,OCR-free Document Understanding Transformer,49
1171,5261,DexMV: Imitation Learning for Dexterous Manipulation from Human Videos,48
45,1817,PersFormer: 3D Lane Detection via Perspective Transformer and the OpenLane Benchmark,48
13,631,Semantic-Aware Implicit Neural Audio-Driven Video Portrait Generation,47
104,4916,NeuMesh: Learning Disentangled Neural Mesh-based Implicit Field for Geometry and Texture Editing,47
274,755,2DPASS: 2D Priors Assisted Semantic Segmentation on LiDAR Point Clouds,47
900,4117,A-OKVQA: A Benchmark for Visual Question Answering using World Knowledge,46
436,1557,Making the Most of Text Semantics to Improve Biomedical Vision-Language Processing,46
1573,7509,Object discovery and representation networks,45
803,3623,JoJoGAN: One Shot Face Stylization,43
1128,5076,Factorizing Knowledge in Neural Networks,43
237,537,Implicit Neural Representations for Image Compression,42
975,4405,DICE: Leveraging Sparsification for Out-of-Distribution Detection,42
92,4610,Generative Multiplane Images: Making a 2D GAN 3D-Aware,41
1431,6576,Subspace Diffusion Generative Models,41
415,1469,ARAH: Animatable Volume Rendering of Articulated Human SDFs,41
178,140,Masked Generative Distillation,41
1389,6356,FCAF3D: Fully Convolutional Anchor-Free 3D Object Detection,40
407,1424,ARF: Artistic Radiance fields,40
409,1439,What to Hide from Your Students: Attention-Guided Masked Image Modeling,39
510,1951,AiATrack: Attention in Attention for Transformer Visual Tracking,38
1018,4614,FILM: Frame Interpolation for Large Motion,38
872,4001,PromptDet: Towards Open-vocabulary Detection using Uncurated Images,38
272,734,RigNet: Repetitive Image Guided Network for Depth Completion,38
2,125,SeqFormer: Sequential Transformer for Video Instance Segmentation,37
4,168,In Defense of Online Models for Video Instance Segmentation,37
422,1511,HIVE: Evaluating the Human Interpretability of Visual Explanations,37
39,1620,CLIFF: Carrying Location Information in Full Frames into Human Pose and Shape Estimation,37
561,2234,NeuRIS: Neural Reconstruction of Indoor Scenes Using Normal Priors,37
245,599,Neural Architecture Search for Spiking Neural Networks,36
214,357,Coarse-to-Fine Sparse Transformer for Hyperspectral Image Reconstruction,35
239,556,Scene Text Recognition with Permuted Autoregressive Sequence Models,35
35,1545,CenterFormer: Center-based Transformer for 3D Object Detection,33
606,2516,SparseNeuS: Fast Generalizable Neural Surface Reconstruction from Sparse Views,33
865,3977,Learn From All: Erasing Attention Consistency for Noisy Label Facial Expression Recognition,33
1616,7856,PTQ4ViT: Post-Training Quantization for Vision Transformers with Twin Uniform Quantization,33
625,2605,GRIT: Faster and Better Image captioning Transformer Using Dual Visual Features,32
313,982,Unsupervised Night Image Enhancement: When Layer Decomposition Meets Light-Effects Suppression,32
218,368,MPPNet: Multi-Frame Feature Intertwining with Proxy Points for 3D Temporal Object Detection,31
822,3689,Three things everyone should know about Vision Transformers,31
417,1474,Exploiting Unlabeled Data with Vision and Language Models for Object Detection,31
112,5226,UniTAB: Unifying Text and Box Outputs for Grounded Vision-Language Modeling,30
94,4651,Stripformer: Strip Transformer for Fast Image Deblurring,30
137,6295,Pixel-wise Energy-biased Abstention Learning for Anomaly Segmentation on Complex Urban Driving Scenes,29
1570,7474,Towards Metrical Reconstruction of Human Faces,29
57,2691,Monocular 3D Object Detection with Depth from Motion,29
999,4505,MoFaNeRF: Morphable Facial Neural Radiance Field,29
5,185,HuMMan: Multi-Modal 4D Human Dataset for Versatile Sensing and Modeling,29
1453,6686,VSA: Learning Varied-Size Window Attention in Vision Transformers,29
461,1701,ASpanFormer: Detector-Free Image Matching with Adaptive Span Transformer,29
708,3129,Improving Image Restoration by Revisiting Global Information Aggregation,28
102,4901,Adaptive Token Sampling For Efficient Vision Transformers,28
1013,4588,PointMixer: MLP-Mixer for Point Cloud Understanding,28
917,4217,Learning Audio-Video Modalities from Image Captions,28
1129,5081,Unleashing Transformers: Parallel Token Prediction with Discrete Absorbing Diffusion for Fast High-Resolution Image Generation from Vector-Quantized Codes,28
927,4252,Backbone is All Your Need: A Simplified Architecture for Visual Object Tracking,28
1458,6719,Deforming Radiance Fields with Cages,28
1365,6228,3D Face Reconstruction with Dense Landmarks,28
1473,6838,DenseHybrid: Hybrid Anomaly Detection for Dense Open-set Recognition,27
381,1322,KeypointNeRF: Generalizing Image-based Volumetric Avatars using Relative Spatial Encoding of Keypoints,27
1359,6214,Webly Supervised Concept Expansion for General Purpose Vision Models,27
41,1729,Registration based Few-Shot Anomaly Detection,27
1518,7093,Improving Generalization in Federated Learning by Seeking Flat Minima,27
38,1617,VQFR: Blind Face Restoration with Vector-Quantized Dictionary and Parallel Decoder,27
597,2463,GaitEdge: Beyond Plain End-to-end Gait Recognition for Better Practicality,27
1080,4908,4DContrast: Contrastive Learning with Dynamic Correspondences for 3D Scene Understanding,26
15,669,SeqTR: A Simple yet Universal Network for Visual Grounding,26
1632,8026,Unsupervised Learning of Efficient Geometry-Aware Neural Articulated Representations,26
481,1790,Housekeep: Tidying Virtual Households using Commonsense Reasoning,26
1005,4537,TinyViT: Fast Pretraining Distillation for Small Vision Transformers,26
352,1174,Towards Data-Efficient Detection Transformers,26
1248,5595,Joint Learning of Localized Representations from Medical Images and Reports,25
517,1987,Cost Aggregation with 4D Convolutional Swin Transformer for Few-Shot Segmentation,25
847,3837,Efficient Video Transformers with Spatial-temporal Token Selection,25
360,1203,Bootstrapped Masked Autoencoders for Vision BERT Pretraining,25
1269,5721,SimpleRecon: 3D Reconstruction Without 3D Convolutions,25
1366,6236,SWFormer: Sparse Window Transformer for 3D Object Detection in Point Clouds,25
1108,4998,NeRF for Outdoor Scene Relighting,25
730,3240,Interpretable Image Classification with Differentiable Prototypes Assignment,24
229,460,MVSTER: Epipolar Transformer for Efficient Multi-View Stereo,24
395,1376,Learning Ego 3D Representation as Ray Tracing,24
657,2783,PseCo: Pseudo Labeling and Consistency Training for Semi-Supervised Object Detection,24
1505,7035,BLT: Bidirectional Layout Transformer for Controllable Layout Generation,24
250,626,R2L: Distilling Neural Radiance Field to Neural Light Field for Efficient Novel View Synthesis,24
1003,4533,PolyphonicFormer: Unified Query Learning for Depth-aware Video Panoptic Segmentation,24
1295,5913,Open Vocabulary Object Detection with Pseudo Bounding-Box Labels,24
51,2290,Generalizable Patch-Based Neural Rendering,23
681,2900,Unified Implicit Neural Stylization,23
246,601,Neuromorphic Data Augmentation for Training Spiking Neural Networks,23
1106,4992,Prototypical Contrast Adaptation for Domain Adaptive Semantic Segmentation,23
263,689,Shape Matters: Deformable Patch Attack,23
757,3378,Gen6D: Generalizable Model-Free 6-DoF Object Pose Estimation from RGB Images,23
760,3390,SegPGD: An Effective and Efficient Adversarial Attack for Evaluating and Boosting Segmentation Robustness,23
386,1342,StretchBEV: Stretching Future Instance Prediction Spatially and Temporally,23
585,2373,Learning Dynamic Facial Radiance Fields for Few-Shot Talking Head Synthesis,23
222,401,Improving Vision Transformers by Revisiting High-frequency Components,22
449,1628,Learning to Detect Every Thing in an Open World,22
885,4037,TokenMix: Rethinking Image Mixing for Data Augmentation in Vision Transformers,22
918,4220,Inverted Pyramid Multi-task Transformer for Dense Scene Understanding,22
1610,7785,ESS: Learning Event-based Semantic Segmentation from Still Images,22
1202,5404,LiDAR Distillation: Bridging the Beam-Induced Domain Gap for 3D Object Detection,22
79,3887,CCPL: Contrastive Coherence Preserving Loss for Versatile Style Transfer,22
1379,6305,Data-free Backdoor Removal Based on Channel Lipschitzness,21
405,1417,ViewFormer: NeRF-free Neural Rendering from Few Images Using Transformers,21
366,1247,CODA: A Real-World Road Corner Case Dataset for Object Detection in Autonomous Driving,21
1416,6513,AdaNeRF: Adaptive Sampling for Real-time Rendering of Neural Radiance Fields,21
673,2863,BlobGAN: Spatially Disentangled Scene Representations,21
897,4090,Localizing Visual Sounds the Easy Way,21
489,1832,PS-NeRF: Neural Inverse Rendering for Multi-view Photometric Stereo,21
1075,4894,"CHORE: Contact, Human and Object REconstruction from a single RGB image",21
6,193,Graph R-CNN: Towards Accurate 3D Object Detection with Semantic-Decorated Local Graph,21
765,3418,CryoAI: Amortized Inference of Poses for Ab Initio Reconstruction of 3D Molecular Volumes from Real Cryo-EM Images,21
191,222,Panoptic Scene Graph Generation,21
1322,6046,Contextformer: A Transformer with Spatio-Channel Attention for Context Modeling in Learned Image Compression,20
58,2723,Fine-Grained Scene Graph Generation with Data Transfer,20
536,2116,Cross-Attention of Disentangled Modalities for 3D Human Mesh Recovery with Transformers,20
375,1300,PanoFormer: Panorama Transformer for Indoor 360° Depth Estimation,20
165,74,AvatarPoser: Articulated Full-Body Pose Tracking from Sparse Motion Sensing,20
807,3643,Learning Graph Neural Networks for Image Style Transfer,20
1405,6459,An Impartial Take to the CNN vs Transformer Robustness Contest,20
259,655,Lidar Point Cloud Guided Monocular 3D Object Detection,20
906,4136,Long Movie Clip Classification with State-Space Video Models,19
111,5142,DCCF: Deep Comprehensible Color Filter Learning Framework for High-Resolution Image Harmonization,19
11,561,Particle Video Revisited: Tracking Through Occlusions Using Point Trajectories,19
1574,7511,MeshUDF: Fast and Differentiable Meshing of Unsigned Distance Field Networks,19
19,974,Frequency Domain Model Augmentation for Adversarial Attack,19
247,602,RelPose: Predicting Probabilistic Relative Rotation for Single Objects in the Wild,19
1196,5381,Training Vision Transformers with Only 2040 Images,19
293,852,COUCH: Towards Controllable Human-chair Interactions,19
253,636,Sem2NeRF: Converting Single-View Semantic Masks to Neural Radiance Fields,19
1097,4966,ViTAS: Vision Transformer Architecture Search,19
32,1407,Box2Mask: Weakly Supervised 3D Semantic Instance Segmentation Using Bounding Boxes,18
1277,5770,"ShAPO: Implicit Representations for Multi-Object Shape, Appearance, and Pose Optimization",18
380,1321,Highly Accurate Dichotomous Image Segmentation,18
