,Submission,Title,Cited
3266,3266,Self-Consistency Improves Chain of Thought Reasoning in Language Models,469
880,880,DreamFusion: Text-to-3D using 2D Diffusion,399
4782,4782,An Image is Worth One Word: Personalizing Text-to-Image Generation using Textual Inversion,351
3791,3791,DINO: DETR with Improved DeNoising Anchor Boxes for End-to-End Object Detection,292
4656,4656,Conditional Positional Encodings for Vision Transformers,286
4331,4331,Least-to-Most Prompting Enables Complex Reasoning in Large Language Models,280
997,997,Make-A-Video: Text-to-Video Generation without Text-Video Data,268
2060,2060,GLM-130B: An Open Bilingual Pre-trained Model,211
1005,1005,ReAct: Synergizing Reasoning and Acting in Language Models,195
3399,3399,InCoder: A Generative Model for Code Infilling and Synthesis,190
4479,4479,Socratic Models: Composing Zero-Shot Multimodal Reasoning with Language,188
2078,2078,CodeGen: An Open Large Language Model for Code with Multi-Turn Program Synthesis,177
2408,2408,PaLI: A Jointly-Scaled Multilingual Language-Image Model,174
2487,2487,Quantifying Memorization Across Neural Language Models,173
4393,4393,Context Autoencoder for Self-Supervised Representation Learning,162
2167,2167,Automatic Chain of Thought Prompting in Large Language Models,150
558,558,Large Language Models are Human-Level Prompt Engineers,131
4522,4522,Human Motion Diffusion Model,130
3419,3419,"UNIFIED-IO: A Unified Model for Vision, Language, and Multi-modal Tasks",125
3844,3844,Measuring and Narrowing the Compositionality Gap in Language Models,111
3786,3786,BEiT v2: Masked Image Modeling with Vector-Quantized Visual Tokenizers,109
1663,1663,CogVideo: Large-scale Pretraining for Text-to-Video Generation via Transformers,108
1503,1503,Selection-Inference: Exploiting Large Language Models for Interpretable Logical Reasoning,108
2049,2049,Large Language Models Can Self-improve,106
731,731,Fast Sampling of Diffusion Models with Exponential Integrator,106
3033,3033,DiffEdit: Diffusion-based semantic image editing with mask guidance,101
991,991,Cold Diffusion: Inverting Arbitrary Image Transforms Without Noise,97
1077,1077,Last Layer Re-Training is Sufficient for Robustness to Spurious Correlations,95
3894,3894,Analog Bits: Generating Discrete Data using Diffusion Models with Self-Conditioning,92
4953,4953,Observation-Centric SORT: Rethinking SORT for Robust Multi-Object Tracking,91
3754,3754,Diffusion Posterior Sampling for General Noisy Inverse Problems,87
3360,3360,"DiffDock: Diffusion Steps, Twists, and Turns for Molecular Docking",87
1865,1865,Complexity-Based Prompting for Multi-step Reasoning,84
3917,3917,Diffusion Probabilistic Modeling of Protein Backbones in 3D for the motif-scaffolding problem,77
426,426,Git Re-Basin: Merging Models modulo Permutation Symmetries,76
625,625,Decomposed Prompting: A Modular Approach for Solving Complex Tasks,75
253,253,UL2: Unifying Language Learning Paradigms,74
4644,4644,DPM-Solver++: Fast Solver for Guided Sampling of Diffusion Probabilistic Models,74
879,879,Language models are multilingual chain-of-thought reasoners,73
325,325,Training-Free Structured Diffusion Guidance for Compositional Text-to-Image Synthesis,71
2515,2515,VIMA: General Robot Manipulation with Multimodal Prompts,70
4250,4250,The Role of ImageNet Classes in Fréchet Inception Distance,70
4297,4297,Generate rather than Retrieve: Large Language Models are Strong Context Generators,68
2631,2631,AudioGen: Textually Guided Audio Generation,67
3436,3436,ProGen2: Exploring the Boundaries of Protein Language Models,66
3522,3522,Novel View Synthesis with Diffusion Models,63
3882,3882,Protein Representation Learning by Geometric Structure Pretraining,63
1571,1571,Can Wikipedia Help Offline Reinforcement Learning?,63
4143,4143,Selective Annotation Makes Language Models Better Few-Shot Learners,63
2731,2731,DiGress: Discrete Denoising diffusion for graph generation,58
817,817,Promptagator: Few-shot Dense Retrieval From 8 Examples,58
905,905,"Is Reinforcement Learning (Not) for Natural Language Processing?: Benchmarks, Baselines, and Building Blocks for Natural Language Policy Optimization",56
3116,3116,Corrupted Image Modeling for Self-Supervised Visual Pre-Training,56
4841,4841,IS SYNTHETIC DATA FROM GENERATIVE MODELS READY FOR IMAGE RECOGNITION?,56
382,382,Ask Me Anything: A simple strategy for prompting language models,54
