,Title,Cited
985,Robust Speech Recognition via Large-Scale Weak Supervision,357
485,PaLM-E: An Embodied Multimodal Language Model,187
384,PAL: Program-aided Language Models,125
1538,Muse: Text-To-Image Generation via Masked Generative Transformers,115
271,The Flan Collection: Designing Data and Methods for Effective Instruction Tuning,96
1769,A Watermark for Large Language Models,91
1770,DetectGPT: Zero-Shot Machine-Generated Text Detection using Probability Curvature,88
1732,Pythia: A Suite for Analyzing Large Language Models Across Training and Scaling,85
1690,Scaling Vision Transformers to 22 Billion Parameters,84
1707,Transformers Learn In-Context by Gradient Descent,63
1635,SmoothQuant: Accurate and Efficient Post-Training Quantization for Large Language Models,55
639,AudioLDM: Text-to-Audio Generation with Latent Diffusion Models,54
1579,Composer: Creative and Controllable Image Synthesis with Composable Conditions,45
1355,Scaling Laws for Reward Model Overoptimization,42
736,Large Language Models Can Be Easily Distracted by Irrelevant Context,36
1757,Whose Opinions Do Language Models Reflect?,35
1720,Pretraining Language Models with Human Preferences,34
1723,SparseGPT: Massive Language Models Can be Accurately Pruned in One-Shot,33
1432,Large Language Models Struggle to Learn Long-Tail Knowledge,33
1675,Pix2Struct: Screenshot Parsing as Pretraining for Visual Language Understanding,31
334,MultiDiffusion: Fusing Diffusion Paths for Controlled Image Generation,30
1710,Specializing Smaller Language Models towards Multi-Step Reasoning,29
1462,DS-1000: A Natural and Reliable Benchmark for Data Science Code Generation,28
1499,Prompting Large Language Model for Machine Translation: A Case Study,28
1140,VectorMapNet: End-to-end Vectorized HD Map Learning,27
632,ClimaX: A foundation model for weather and climate,26
1686,The Price of Differential Privacy under Continual Observation,24
891,Better Diffusion Models Further Improve Adversarial Training,24
595,simple diffusion: End-to-end diffusion for high resolution images,22
560,Text-To-4D Dynamic Scene Generation,22
457,Grounding Large Language Models in Interactive Environments with Online Reinforcement Learning,22
1825,Learning GFlowNets From Partial Episodes For Improved Convergence And Stability,21
731,Scaling Laws for Generative Mixed-Modal Language Models,20
451,SGD with Large Step Sizes Learns Sparse Features,20
1155,TabDDPM: Modelling Tabular Data with Diffusion Models,20
1736,Hyena Hierarchy: Towards Larger Convolutional Language Models,19
300,Improved Analysis of Score-based Generative Modeling: User-Friendly Bounds under Minimal Smoothness Assumptions,19
1620,Principled Reinforcement Learning with Human Feedback from Pairwise or K-wise Comparisons,18
349,On Provable Copyright Protection for Generative Models,18
1110,Are Diffusion Models Vulnerable to Membership Inference Attacks?,18
1212,Global Context Vision Transformers,17
871,Efficient Online Reinforcement Learning with Offline Data,17
671,Guiding Pretraining in Reinforcement Learning with Large Language Models,17
901,On the Expressive Power of Geometric Graph Neural Networks,17
930,Coder Reviewer Reranking for Code Generation,17
210,Exploring the Benefits of Training Expert Language Models over Instruction Tuning,17
577,"On Over-Squashing in Message Passing Neural Networks: The Impact of Width, Depth, and Topology",16
801,"Reduce, Reuse, Recycle: Compositional Generation with Energy-Based Diffusion Models and MCMC",16
1800,BEATs: Audio Pre-Training with Acoustic Tokenizers,16
1064,Scalable Adaptive Computation for Iterative Generation,16
1721,RankMe: Assessing the Downstream Performance of Pretrained Self-Supervised Representations by Their Rank,16
963,Nearly Minimax Optimal Reinforcement Learning for Linear Markov Decision Processes,15
584,SegCLIP: Patch Aggregation with Learnable Centers for Open-Vocabulary Semantic Segmentation,15
1654,Retrieval-Augmented Multimodal Language Modeling,15
550,Synthetic Prompting: Generating Chain-of-Thought Demonstrations for Large Language Models,15
1229,Leveraging Offline Data in Online Reinforcement Learning,15
