,Submission,Title,Cited
1511,12293,Training language models to follow instructions with human feedback,2085
2766,2243,Photorealistic Text-to-Image Diffusion Models with Deep Language Understanding,1507
998,5454,Large Language Models are Zero-Shot Reasoners,633
946,1176,Video Diffusion Models,369
2642,5563,DPM-Solver: A Fast ODE Solver for Diffusion Probabilistic Model Sampling in Around 10 Steps,245
2004,3660,Solving Quantitative Reasoning Problems with Language Models,221
2615,8131,Diffusion-LM Improves Controllable Text Generation,221
707,6748,Denoising Diffusion Restoration Models,193
1459,476,Masked Autoencoders As Spatiotemporal Learners,168
1213,6547,STaR: Bootstrapping Reasoning With Reasoning,131
2788,7380,Locating and Editing Factual Associations in GPT,122
2090,1498,GET3D: A Generative Model of High Quality 3D Textured Shapes Learned from Images,118
2172,703,PointNeXt: Revisiting PointNet++ with Improved Training and Scaling Strategies,109
1452,11653,Beyond neural scaling laws: beating power law scaling via data pruning,107
1662,2726,Efficient and Modular Implicit Differentiation,107
325,3802,LION: Latent Point Diffusion Models for 3D Shape Generation,104
1034,2112,MonoSDF: Exploring Monocular Geometric Cues for Neural Implicit Surface Reconstruction,103
2061,3221,CogView2: Faster and Better Text-to-Image Generation via Hierarchical Transformers,100
1086,4549,CLIPDraw: Exploring Text-to-Drawing Synthesis through Language-Image Encoders,99
2508,1088,ViTPose: Simple Vision Transformer Baselines for Human Pose Estimation,97
687,2502,"Recipe for a General, Powerful, Scalable Graph Transformer",96
2313,3700,Video PreTraining (VPT): Learning to Act by Watching Unlabeled Online Videos,95
197,6157,Torsional Diffusion for Molecular Conformer Generation,90
595,8688,Improving Diffusion Models for Inverse Problems using Manifold Constraints,87
2318,5416,AdaptFormer: Adapting Vision Transformers for Scalable Visual Recognition,85
912,8614,What Can Transformers Learn In-Context? A Case Study of Simple Function Classes,85
2001,3703,Decomposing NeRF for Editing via Feature Field Distillation,85
2739,12529,Multi-Game Decision Transformers,84
1305,8760,MEMO: Test Time Robustness via Adaptation and Augmentation,84
2023,4596,Learn to Explain: Multimodal Reasoning via Thought Chains for Science Question Answering,79
1393,11693,Transformer Memory as a Differentiable Search Index,79
1437,1916,A Contrastive Framework for Neural Text Generation,77
1770,2656,EfficientFormer: Vision Transformers at MobileNet Speed,71
1284,7138,MACE: Higher Order Equivariant Message Passing Neural Networks for Fast and Accurate Force Fields,71
2753,8897,Flexible Diffusion Modeling of Long Videos,69
1406,323,SegNeXt: Rethinking Convolutional Attention Design for Semantic Segmentation,68
1562,295,Mind the Gap: Understanding the Modality Gap in Multi-modal Contrastive Representation Learning,67
2361,5223,SwinTrack: A Simple and Strong Baseline for Transformer Tracking,66
832,1769,Vision GNN: An Image is Worth Graph of Nodes,66
695,3427,Data Distributional Properties Drive Emergent In-Context Learning in Transformers,65
1361,8904,CodeRL: Mastering Code Generation through Pretrained Models and Deep Reinforcement Learning,63
296,3158,HorNet: Efficient High-Order Spatial Interactions with Recursive Gated Convolutions,62
221,5377,Neural Sheaf Diffusion: A Topological Perspective on Heterophily and Oversmoothing in GNNs,62
1823,1330,Masked Autoencoders that Listen,61
1502,1825,EpiGRAF: Rethinking training of 3D GANs,59
254,4115,Pure Transformers are Powerful Graph Learners,58
978,9078,Focal Modulation Networks,58
1117,724,VoxGRAF: Fast 3D-Aware Image Synthesis with Sparse Voxel Grids,56
780,10491,Contrastive and Non-Contrastive Self-Supervised Learning Recover Global and Local Spectral Embedding Methods,55
26,11799,Exploring Length Generalization in Large Language Models,54
597,4248,Egocentric Video-Language Pretraining,53
2592,11789,Generating Training Data with Language Models: Towards Zero-Shot Language Understanding,52
106,2970,GAUDI: A Neural Architect for Immersive 3D Scene Generation,50
1753,2497,Revisiting Heterophily For Graph Neural Networks,49
2550,11734,QUARK: Controllable Text Generation with Reinforced Unlearning,49
27,6736,Sign and Basis Invariant Networks for Spectral Graph Representation Learning,48
88,5850,EGSDE: Unpaired Image-to-Image Translation via Energy-Guided Stochastic Differential Equations,48
1258,2725,Autoregressive Search Engines: Generating Substrings as Document Identifiers,47
303,10344,A Unified Sequence Interface for Vision Tasks,46
2535,11132,Trajectory balance: Improved credit assignment in GFlowNets,46
465,9759,CLOOB: Modern Hopfield Networks with InfoLOOB Outperform CLIP,46
489,6247,Ensemble of Averages: Improving Model Selection and Boosting Performance in Domain Generalization,45
1992,12149,Autoformalization with Large Language Models,45
232,3387,Contrastive Learning as Goal-Conditioned Reinforcement Learning,44
2352,230,Zero-Shot Video Question Answering via Frozen Bidirectional Language Models,44
2587,7880,Deep Bidirectional Language-Knowledge Graph Pretraining,44
2221,8646,Patching open-vocabulary models by interpolating weights,44
778,1510,Antigen-Specific Antibody Design and Optimization with Diffusion-Based Generative Models for Protein Structures,44
1988,3131,Uni-Mol: A Universal 3D Molecular Representation Learning Framework,43
1000,3161,Weakly supervised causal representation learning,43
795,12076,LST: Ladder Side-Tuning for Parameter and Memory Efficient Transfer Learning,43
2807,10335,Semantic Exploration from Language Abstractions and Pretrained Representations,42
1574,4642,Diagonal State Spaces are as Effective as Structured State Spaces,42
1134,8569,High-dimensional Asymptotics of Feature Learning: How One Gradient Step Improves the Representation,42
351,2834,Understanding and Extending Subgraph GNNs by Rethinking Their Symmetries,41
527,9956,Sleeper Agent: Scalable Hidden Trigger Backdoors for Neural Networks Trained from Scratch,41
1494,12908,COLD Decoding: Energy-based Constrained Text Generation with Langevin Dynamics,41
1055,3797,Learning Efficient Vision Transformers via Fine-Grained Manifold Distillation,41
